seed,split,field_strength,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_positive_fraction,absolute_gap
2026,validation,1.5T,1,0.1,0.2,5,0.15225304216146468,1.0,0.8477469578385353
2026,validation,1.5T,2,0.2,0.30000000000000004,3,0.23567380011081696,1.0,0.764326199889183
2026,validation,1.5T,3,0.30000000000000004,0.4,3,0.3272588551044464,1.0,0.6727411448955536
2026,validation,1.5T,4,0.4,0.5,6,0.4519952783981959,1.0,0.548004721601804
2026,validation,1.5T,5,0.5,0.6000000000000001,5,0.533817720413208,1.0,0.46618227958679204
2026,validation,1.5T,6,0.6000000000000001,0.7000000000000001,7,0.6496947833469936,1.0,0.3503052166530064
2026,validation,1.5T,7,0.7000000000000001,0.8,10,0.753007584810257,1.0,0.24699241518974302
2026,validation,1.5T,8,0.8,0.9,17,0.8570980184218463,1.0,0.1429019815781537
2026,validation,1.5T,9,0.9,1.0,1718,0.9974868053329699,1.0,0.0025131946670301497
2026,validation,3T,0,0.0,0.1,1753,0.002463505069616022,0.0,0.002463505069616022
2026,validation,3T,1,0.1,0.2,21,0.13890802966696875,0.0,0.13890802966696875
2026,validation,3T,2,0.2,0.30000000000000004,3,0.27380813161532086,0.0,0.27380813161532086
2026,validation,3T,3,0.30000000000000004,0.4,4,0.33768199384212494,0.0,0.33768199384212494
2026,validation,3T,4,0.4,0.5,1,0.4014836549758911,0.0,0.4014836549758911
2026,validation,3T,5,0.5,0.6000000000000001,3,0.5411278406778971,0.0,0.5411278406778971
2026,validation,3T,8,0.8,0.9,3,0.84576416015625,0.0,0.84576416015625
2026,test,all,0,0.0,0.1,3775,0.006600852745605533,0.4919205298013245,0.485319677055719
2026,test,all,1,0.1,0.2,128,0.14910393895115703,0.484375,0.33527106104884297
2026,test,all,2,0.2,0.30000000000000004,90,0.24453576604525248,0.43333333333333335,0.18879756728808086
2026,test,all,3,0.30000000000000004,0.4,53,0.34277706832255955,0.4528301886792453,0.11005312035668574
2026,test,all,4,0.4,0.5,41,0.45205498832028085,0.34146341463414637,0.11059157368613448
2026,test,all,5,0.5,0.6000000000000001,38,0.5481182854426535,0.13157894736842105,0.4165393380742325
2026,test,all,6,0.6000000000000001,0.7000000000000001,27,0.6516977394068683,0.2962962962962963,0.355401443110572
2026,test,all,7,0.7000000000000001,0.8,47,0.7536508301471142,0.2127659574468085,0.5408848727003057
2026,test,all,8,0.8,0.9,61,0.8549678267025557,0.29508196721311475,0.5598858594894409
2026,test,all,9,0.9,1.0,2528,0.9963974870411278,0.5367879746835443,0.4596095123575835
2026,test,1.5T,0,0.0,0.1,262,0.021527414668571162,0.022900763358778626,0.001373348690207464
2026,test,1.5T,1,0.1,0.2,51,0.14952184698160956,0.0196078431372549,0.12991400384435464
2026,test,1.5T,2,0.2,0.30000000000000004,43,0.25021847320157425,0.046511627906976744,0.2037068452945975
2026,test,1.5T,3,0.30000000000000004,0.4,26,0.3417738343660648,0.038461538461538464,0.30331229590452635
2026,test,1.5T,4,0.4,0.5,27,0.4535109069612291,0.07407407407407407,0.379436832887155
2026,test,1.5T,5,0.5,0.6000000000000001,27,0.5477988234272709,0.07407407407407407,0.47372474935319686
2026,test,1.5T,6,0.6000000000000001,0.7000000000000001,22,0.6510723016478799,0.13636363636363635,0.5147086652842435
2026,test,1.5T,7,0.7000000000000001,0.8,43,0.7547270433847294,0.16279069767441862,0.5919363457103108
2026,test,1.5T,8,0.8,0.9,55,0.8538542747497558,0.2545454545454545,0.5993088202043013
2026,test,1.5T,9,0.9,1.0,2522,0.9964770048880369,0.5376685170499603,0.4588084878380766
2026,test,3T,0,0.0,0.1,3513,0.005487627802873681,0.5269000853970965,0.5214124575942228
2026,test,3T,1,0.1,0.2,77,0.14882714272319497,0.7922077922077922,0.6433806494845973
2026,test,3T,2,0.2,0.30000000000000004,47,0.23933669354053252,0.7872340425531915,0.547897349012659
2026,test,3T,3,0.30000000000000004,0.4,27,0.34374314546585083,0.8518518518518519,0.508108706386001
2026,test,3T,4,0.4,0.5,14,0.4492471452270235,0.8571428571428571,0.40789571191583357
2026,test,3T,5,0.5,0.6000000000000001,11,0.5489024194804105,0.2727272727272727,0.2761751467531378
2026,test,3T,6,0.6000000000000001,0.7000000000000001,5,0.6544496655464173,1.0,0.34555033445358274
2026,test,3T,7,0.7000000000000001,0.8,4,0.7420815378427505,0.75,0.00791846215724945
2026,test,3T,8,0.8,0.9,6,0.8651753862698873,0.6666666666666666,0.1985087196032207
2026,test,3T,9,0.9,1.0,6,0.9629734853903452,0.16666666666666666,0.7963068187236786
2027,training,all,0,0.0,0.1,4744,0.002041718358635895,0.0,0.002041718358635895
2027,training,all,1,0.1,0.2,16,0.14740554383024573,0.0,0.14740554383024573
2027,training,all,2,0.2,0.30000000000000004,7,0.23269547947815486,0.0,0.23269547947815486
2027,training,all,3,0.30000000000000004,0.4,5,0.3384031176567078,0.0,0.3384031176567078
2027,training,all,4,0.4,0.5,3,0.440189003944397,0.0,0.440189003944397
2027,training,all,5,0.5,0.6000000000000001,1,0.5638467669487,0.0,0.5638467669487
2027,training,all,6,0.6000000000000001,0.7000000000000001,1,0.6692833304405212,0.0,0.6692833304405212
2027,training,all,7,0.7000000000000001,0.8,2,0.7756218314170837,0.0,0.7756218314170837
2027,training,all,8,0.8,0.9,1,0.8814144134521484,0.0,0.8814144134521484
2027,training,all,9,0.9,1.0,4782,0.9999148160381229,0.9997908824759515,0.00012393356217144103
2027,training,1.5T,9,0.9,1.0,4781,0.9999225091370696,1.0,7.749086293040719e-05
2027,training,3T,0,0.0,0.1,4744,0.002041718358635895,0.0,0.002041718358635895
2027,training,3T,1,0.1,0.2,16,0.14740554383024573,0.0,0.14740554383024573
2027,training,3T,2,0.2,0.30000000000000004,7,0.23269547947815486,0.0,0.23269547947815486
2027,training,3T,3,0.30000000000000004,0.4,5,0.3384031176567078,0.0,0.3384031176567078
2027,training,3T,4,0.4,0.5,3,0.440189003944397,0.0,0.440189003944397
2027,training,3T,5,0.5,0.6000000000000001,1,0.5638467669487,0.0,0.5638467669487
2027,training,3T,6,0.6000000000000001,0.7000000000000001,1,0.6692833304405212,0.0,0.6692833304405212
2027,training,3T,7,0.7000000000000001,0.8,2,0.7756218314170837,0.0,0.7756218314170837
2027,training,3T,8,0.8,0.9,1,0.8814144134521484,0.0,0.8814144134521484
2027,training,3T,9,0.9,1.0,1,0.9631341099739075,0.0,0.9631341099739075
2027,validation,all,0,0.0,0.1,1743,0.0028518003565994993,0.0051635111876075735,0.0023117108310080742
2027,validation,all,1,0.1,0.2,17,0.13988325832521215,0.058823529411764705,0.08105972891344744
2027,validation,all,2,0.2,0.30000000000000004,9,0.23841539522012076,0.0,0.23841539522012076
2027,validation,all,3,0.30000000000000004,0.4,11,0.35362401062792,0.45454545454545453,0.10092144391753455
2027,validation,all,4,0.4,0.5,12,0.4418992151816686,0.25,0.19189921518166858
2027,validation,all,5,0.5,0.6000000000000001,5,0.5659820079803467,0.8,0.23401799201965334
2027,validation,all,6,0.6000000000000001,0.7000000000000001,12,0.6493966033061346,0.8333333333333334,0.1839367300271988
2027,validation,all,7,0.7000000000000001,0.8,24,0.7600318789482117,0.8333333333333334,0.0733014543851217
2027,validation,all,8,0.8,0.9,31,0.8562236870488813,0.967741935483871,0.1115182484349897
2027,validation,all,9,0.9,1.0,1712,0.9982682610992516,0.9964953271028038,0.0017729339964478452
2027,validation,1.5T,0,0.0,0.1,9,0.030404465169542365,1.0,0.9695955348304577
2027,validation,1.5T,1,0.1,0.2,1,0.1921546906232834,1.0,0.8078453093767166
2027,validation,1.5T,3,0.30000000000000004,0.4,5,0.34968839287757875,1.0,0.6503116071224213
2027,validation,1.5T,4,0.4,0.5,3,0.4640290141105652,1.0,0.5359709858894348
2027,validation,1.5T,5,0.5,0.6000000000000001,4,0.5722590684890747,1.0,0.4277409315109253
2027,validation,1.5T,6,0.6000000000000001,0.7000000000000001,10,0.6486922681331635,1.0,0.3513077318668365
2027,validation,1.5T,7,0.7000000000000001,0.8,20,0.7586903870105743,1.0,0.24130961298942566
2027,validation,1.5T,8,0.8,0.9,30,0.8550306399663289,1.0,0.1449693600336711
2027,validation,1.5T,9,0.9,1.0,1706,0.9984886578141176,1.0,0.0015113421858824472
2027,validation,3T,0,0.0,0.1,1734,0.002708793445805678,0.0,0.002708793445805678
2027,validation,3T,1,0.1,0.2,16,0.1366162938065827,0.0,0.1366162938065827
2027,validation,3T,2,0.2,0.30000000000000004,9,0.23841539522012076,0.0,0.23841539522012076
2027,validation,3T,3,0.30000000000000004,0.4,6,0.35690369208653766,0.0,0.35690369208653766
2027,validation,3T,4,0.4,0.5,9,0.4345226155387031,0.0,0.4345226155387031
2027,validation,3T,5,0.5,0.6000000000000001,1,0.5408737659454346,0.0,0.5408737659454346
2027,validation,3T,6,0.6000000000000001,0.7000000000000001,2,0.65291827917099,0.0,0.65291827917099
2027,validation,3T,7,0.7000000000000001,0.8,4,0.7667393386363983,0.0,0.7667393386363983
2027,validation,3T,8,0.8,0.9,1,0.8920150995254517,0.0,0.8920150995254517
2027,validation,3T,9,0.9,1.0,6,0.9356021285057068,0.0,0.9356021285057068
2027,test,all,0,0.0,0.1,3659,0.006832780912609307,0.48729160972943425,0.48045882881682495
2027,test,all,1,0.1,0.2,130,0.14607696779645407,0.5692307692307692,0.42315380143431514
2027,test,all,2,0.2,0.30000000000000004,83,0.24309128612638956,0.4939759036144578,0.25088461748806823
2027,test,all,3,0.30000000000000004,0.4,43,0.3602489503317101,0.37209302325581395,0.011844072924103832
2027,test,all,4,0.4,0.5,55,0.4441973529078744,0.41818181818181815,0.026015534726056222
2027,test,all,5,0.5,0.6000000000000001,46,0.5524886535561603,0.2826086956521739,0.2698799579039864
2027,test,all,6,0.6000000000000001,0.7000000000000001,45,0.6635765473047892,0.37777777777777777,0.28579876952701144
2027,test,all,7,0.7000000000000001,0.8,51,0.7492193486176285,0.27450980392156865,0.47470954469605986
2027,test,all,8,0.8,0.9,68,0.8515670553726309,0.27941176470588236,0.5721552906667485
2027,test,all,9,0.9,1.0,2608,0.996060289351121,0.5345092024539877,0.4615510868971333
2027,test,1.5T,0,0.0,0.1,222,0.01963314820808456,0.0,0.01963314820808456
2027,test,1.5T,1,0.1,0.2,45,0.14462525910801358,0.044444444444444446,0.10018081466356912
2027,test,1.5T,2,0.2,0.30000000000000004,31,0.24705935245560062,0.0,0.24705935245560062
2027,test,1.5T,3,0.30000000000000004,0.4,25,0.3591322016716003,0.08,0.2791322016716003
2027,test,1.5T,4,0.4,0.5,33,0.446080435406078,0.12121212121212122,0.3248683141939568
2027,test,1.5T,5,0.5,0.6000000000000001,33,0.5519232171954531,0.06060606060606061,0.4913171565893925
2027,test,1.5T,6,0.6000000000000001,0.7000000000000001,30,0.6616456190745036,0.2,0.4616456190745036
2027,test,1.5T,7,0.7000000000000001,0.8,36,0.7520592825280296,0.08333333333333333,0.6687259491946962
2027,test,1.5T,8,0.8,0.9,56,0.8535169746194567,0.21428571428571427,0.6392312603337424
2027,test,1.5T,9,0.9,1.0,2567,0.9964813651581613,0.530970003895598,0.4655113612625633
2027,test,3T,0,0.0,0.1,3437,0.0060059896587264135,0.5187663660168752,0.5127603763581488
2027,test,3T,1,0.1,0.2,85,0.1468455194550402,0.8470588235294118,0.7002133040743715
2027,test,3T,2,0.2,0.30000000000000004,52,0.24072570812243682,0.7884615384615384,0.5477358303391016
2027,test,3T,3,0.30000000000000004,0.4,18,0.3617999901374181,0.7777777777777778,0.4159777876403597
2027,test,3T,4,0.4,0.5,22,0.4413727291605689,0.8636363636363636,0.42226363447579474
2027,test,3T,5,0.5,0.6000000000000001,13,0.5539239920102633,0.8461538461538461,0.2922298541435828
2027,test,3T,6,0.6000000000000001,0.7000000000000001,15,0.6674384037653606,0.7333333333333333,0.06589492956797272
2027,test,3T,7,0.7000000000000001,0.8,15,0.742403507232666,0.7333333333333333,0.009070173899332734
2027,test,3T,8,0.8,0.9,12,0.8424674322207769,0.5833333333333334,0.25913409888744354
2027,test,3T,9,0.9,1.0,41,0.9696968357737471,0.7560975609756098,0.21359927479813734
